Products,المنتجات
Clipart,فنية
cliparts,فنية
Text,نص
How to use,كيفية استخدام
Product Colors:,الألوان المنتج:
layers panel,لوحة الطبقات
select a font:,تحديد خط:
add text,إضافة نص
update text,النص تحديث
direction,توجيه
Edit Design Color,تحرير تصميم اللون
More,أكثر
Close,قريب
FONT STYLES / text effects:,أنماط الخط / تأثيرات النص:
How to use the customizer...,كيفية استخدام مخصص …
Step 1,الخطوة 1
Select <br> your Product,حدد المنتج الخاص بك
Step 2,الخطوة 2
Step 3,الخطوة 3
Upload your images or choose from our gallery,تحميل الصور الخاصة بك أو اختيار من بينها معرض لدينا
Preview your design and proceed to the checkout,معاينة التصميم الخاص بك، والشروع في الخروج
Order Info,ترتيب معلومات
QTY.,الكمية.
size,حجم
ORDER TOTAL:,الطلب الكلي:
add to cart,إضافة إلى السلة
Share Design:,حصة تصميم:
Uploaded image,صورة محملة
continue,استمر
cancel,إلغاء
"In order to use a design (photograph, logo, brand logo, saying, text, etc) you must have the full rights to this design. If you are not sure, please confirm ownership or ask the rightful owner for usage rights before uploading a design! By saving a design on the Spreadshirt server, you are confirming:",من أجل استخدام تصميم (صورة، والشعار، شعار العلامة التجارية، قائلا: النص، الخ) يجب أن يكون لديك الحقوق الكاملة لهذا التصميم. إذا لم تكن متأكدا، الرجاء التأكد من ملكية أو اطلب من المالك الشرعي للحقوق الاستخدام قبل تحميل تصميم! عن طريق حفظ التصميم على الخادم Spreadshirt من يجب أن تثبت:
I hold the specific right to commercially reproduce this design.,انا اقدر على حق محدد لإعادة إنتاج تجاريا هذا التصميم.
"If, for any reason, the legal beholder of this copyright contacts Spreadshirt, I understand that he/she will be referred directly to me.",إذا، لأي سبب من الأسباب، والناظر القانوني لهذه الاتصالات حقوق الطبع والنشر Spreadshirt من، وأنا أفهم أنه / أنها سوف تحال مباشرة إلى لي.
I understand that illegal usage of a third party's protected design is no small offence and can result in heavy penalties.,وأنا أفهم أن الاستخدام غير المشروع للتصميم محمية طرف ثالث هو أي جريمة صغيرة ويمكن أن يؤدي إلى عقوبات شديدة.
No Image Uploaded,لا توجد صورة محملة
"min. 50x50 pixels, max. 4000x4000 pixels",دقيقة. 50X50 بكسل، كحد أقصى. 4000x4000 بكسل
maximum 10 MB,الحد الأقصى 10 MB
Start upload,بدء تحميل
Upload Photo,تحميل الصور
Just a moment,مجرد لحظة
Front,جبهة
Back,إلى الوراء
Upload,تحميل
Only,فقط
change language,تغيير اللغة
watch video,مشاهدة الفيديو
".png, .jpg, .bmp or .gif",بابوا نيو غينيا، .JPG،. BMP أو GIF.
UPLOADED IMAGE,الصور التي يتم تحميلها
Next,التالي
Prev,السابق
ROTATE,تناوب
0-360 degree <br>(counter-clockwise),0-360 درجة <BR> (عكس اتجاه عقارب الساعة)
Just a few seconds... to get excited and make things,ثوان معدودة ... للحصول على متحمس وجعل الامور
Back to Customizer,العودة إلى مخصص
View Order Detail,مشاهدة ترتيب التفاصيل
Color,اللون
Size,حجم
QTY.,الكمية.
price,price
Download Ready to Print Final Output Files,تحميل جاهزة للطباعة الناتج النهائي الملفات
"We have 3 type of final output for you and all of these are ready to print with DTG printers. Download them to test them in real with your printing machine. You simply needs to open the file, setup a t-shirt in your machine and give a command of PRINT to machine. It will print exactly as what you designed :)",لدينا 3 نوع من الناتج النهائي بالنسبة لك وجميع هؤلاء هم على استعداد لطباعة مع طابعات DTG. تحميلها لاختبار لهم في الوقت الحقيقي مع آلة الطباعة الخاصة بك. يمكنك ببساطة تحتاج لفتح ملف، إعداد تي شيرت في جهازك وإعطاء أمر الطباعة إلى الجهاز. وسوف طباعة بالضبط مثل ما كنت مصممة :)
PDF Download,PDF تحميل
PNG Download,PNG تحميل 
SVG Download,SVG تحميل
A feature rich responsive product customiser tool,وهناك ميزة المنتج استجابة الغنية أداة customiser
