Products,produtos
cliparts,Clipe
Clipart,Clipe
Text,texto
How to use,Como usar
Product Colors:,Cores do produto:
layers panel,painel de camadas
select a font:,selecionar uma fonte:
add text,adicionar texto
update text,texto de atualização
direction,direção
Edit Design Color,Editar Cor do projeto
More,mais
Close,perto
FONT STYLES / text effects:,estilos de pia batismal / efeitos de texto:
How to use the customizer...,Como usar o customizador ...
Step 1,passo 1
Select <br> your Product,Seleccione o seu produto
Step 2,Passo 2
Step 3,Passo 3
Upload your images or choose from our gallery,Envie suas imagens ou escolher entre a nossa galeria
Preview your design and proceed to the checkout,Visualize seu projeto e vá para a Caixa
Order Info,ordem Informações
qty.,Quant.
size,tamanho
ORDER TOTAL:,ordem total:
add to cart,adicionar ao carrinho
Share Design:,Compartilhar Desenho:
Uploaded image,Envio de imagem
Continue,continuar
Cancel,cancelar
"In order to use a design (photograph, logo, brand logo, saying, text, etc) you must have the full rights to this design. If you are not sure, please confirm ownership or ask the rightful owner for usage rights before uploading a design! By saving a design on the Spreadshirt server, you are confirming:","Para utilizar um projeto (foto, logotipo, logotipo da marca, dizer, texto, etc) você deve ter os direitos totais para este projeto. Se você não tiver certeza, por favor confirmar a propriedade ou pergunte ao legítimo proprietário dos direitos de uso antes de enviar um projeto! Ao salvar um projeto no servidor Spreadshirt, você está confirmando:"
I hold the specific right to commercially reproduce this design.,Eu tenho o direito específico para reproduzir comercialmente este design.
"If, for any reason, the legal beholder of this copyright contacts Spreadshirt, I understand that he/she will be referred directly to me.","Se, por qualquer razão, o espectador legal deste Contactos Copyright Spreadshirt, eu entendo que ele / ela vai ser encaminhado diretamente para mim."
I understand that illegal usage of a third party's protected design is no small offence and can result in heavy penalties.,"Eu entendo que o uso ilegal de desenho protegido de terceiros não é um pequeno ataque, e podem resultar em pesadas sanções."
No Image Uploaded,Sem Imagem do Carregado
"min. 50x50 pixels, max. 4000x4000 pixels","pixels mínimos 50x50, máximo de 4000x4000 pixels"
maximum 10 MB,máximo de 10 MB
Start upload,iniciar o upload
Upload Photo,Enviar Foto
Just a moment,Um momento
Front,frente
Upload,Carregar
Back,de volta
Only,apenas 
change language,mudar idioma
".png, .jpg, .bmp or .gif",".png, .jpg, .bmp ou .gif"
UPLOADED IMAGE,Envio de imagem
Next,Próximo
Prev,Anterior
0-360 degree <br>(counter-clockwise),0-360 grau <br> (sentido anti-horário)
Back to Customizer,Voltar para Customizer
View Order Detail,Ver Encomenda
Color,cor
Size,tamanho
QTY.,QTY.
price,preço
Download Ready to Print Final Output Files,Baixe Pronto para imprimir arquivos de saída final
"We have 3 type of final output for you and all of these are ready to print with DTG printers. Download them to test them in real with your printing machine. You simply needs to open the file, setup a t-shirt in your machine and give a command of PRINT to machine. It will print exactly as what you designed :)","Nós temos 3 tipos de saída final para você e toda a estes está pronto para imprimir em impressoras DTG. Transfira-os para testá-los em tempo real com a sua máquina de impressão. Você simplesmente precisa abrir o arquivo, configurar uma t-shirt em sua máquina e dar um comando de PRINT a máquina. Ele irá imprimir exatamente quanto o que você projetou :)"
PDF Download,PDF Baixar
PNG Download,PNG Baixar
SVG Download,SVG Baixar
Just a few seconds... to get excited and make things,Apenas alguns segundos ... para ficar animado e fazer as coisas
A feature rich responsive product customiser tool,A ferramenta customiser rico produto sensível recurso
